Date,time,lap_time,course_cuts,track_name,username,car
7/8/2023,23:01:35,04:27.2,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,22:28:24,04:27.7,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,22:44:47,04:28.2,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,23:24:40,04:29.2,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,22:56:41,04:29.6,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,23:39:45,04:29.8,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,22:33:55,04:29.8,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,22:20:57,04:30.0,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,22:39:08,04:30.0,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,23:29:34,04:30.9,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,22:10:25,04:31.0,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,22:15:51,04:31.8,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,23:34:38,04:32.3,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,22:05:18,04:32.5,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,21:46:40,04:32.9,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,21:37:55,04:35.7,0,Nagao Downhill,bop_saturnnights,Mazda MX-5 Cup
7/8/2023,21:54:37,04:33.0,0,Sadamine Downhill,bop_saturnnights,Mazda MX-5 Cup
7/9/2023,11:50:46,12:14.5,0,Tsuchisaka Extended,Taimaishu,Mitsubishi Lancer Evolution IV GSR
